SchoolId;SchoolName;SchoolAddress;SchoolZipCode;SchoolCity;SchoolRefNumber;SchoolPhone
214;Ecole maternelle - Vallée Loiseau;13 RUE DU LIMOUSIN;28110;LUCE;;0237356934
215;Ecole élémentaire;18 RUE DU GENERAL LEBRETON;28480;LUIGNY;;0237294414
216;Ecole élémentaire - André Juster;COURS CHARLES BRUNE;28600;LUISANT;;0237345885
217;Ecole élémentaire - Charlemagne;1 AVENUE DE LA REPUBLIQUE;28600;LUISANT;;0237342323
218;Ecole maternelle - Jean de La Fontaine;110 AVENUE M. MAUNOURY;28600;LUISANT;;0237345890
219;Ecole élémentaire - Saint-Exupéry;13 RUE DU GENERAL DE GAULLE;28600;LUISANT;;0237353369
220;Ecole maternelle - Saint-Exupéry;9 RUE DU GENERAL DE GAULLE;28600;LUISANT;;0237358037
221;Ecole primaire - Jules Ferry;14 RUE DU PRESSOIR;28500;LURAY;;0237462457
222;Ecole primaire;27 RUE ROBERT POTHIER;28200;LUTZ-EN-DUNOIS;;0237450543
223;Ecole primaire;9 RUE DES SOURCES DU LOIR;28120;MAGNY;;0237245290
224;Ecole primaire - Georges Pérec;12 RUE DE LA MAIRIE;28170;MAILLEBOIS;;0237480112
225;Ecole élémentaire - Charles Péguy;3 RUE JEAN D’AYEN;28130;MAINTENON;;0237276362
226;Ecole élémentaire - Collin d’’Harleville;32 RUE COLLIN D’HARLEVILLE;28130;MAINTENON;;0237230650
227;Ecole maternelle - N°1 Le Guéreau;27 BIS RUE COLLIN D’HARLEVILLE;28130;MAINTENON;;0237230489
228;Ecole maternelle - N°2 Jacques Prévert;3 RUE JEAN D’AYEN;28130;MAINTENON;;0237276133
229;Ecole primaire - Emile Zola;1 RUE DU 19 MARS 1962;28300;MAINVILLIERS;;0237211283
230;Ecole maternelle - Gambetta;RUE HENRI MATISSE;28300;MAINVILLIERS;;0237363772
231;Ecole primaire - Jean Zay;23 RUE JEAN ZAY;28300;MAINVILLIERS;;0237364286
